chr2	24135118	24147086	circular_RNA/1	1	+	24135118	24135118	0,0,0	4	69,81,88,157	0,4251,11629,11811	1	circRNA	FAM228B	NM_001291328	4,5,6,7	chr2:24095229-24135118|chr2:24147086-24161505
chr2	40428472	40430304	circular_RNA/1	0	-	40428472	40428472	0,0,0	1	1832	0	1	circRNA	SLC8A1	NM_021097	2	chr2:40178493-40428472|chr2:40430304-40451903
chr1	11073933	11076948	circular_RNA/1	1	-	11073933	11073933	0,0,0	3	75,96,107	0,297,2908	1	circRNA	EXOSC10	NM_001001998	19,18,17	chr1:11072171-11073933|chr1:11076948-11077364
chr1	29154695	29154910	circular_RNA/1	1	-	29154695	29154695	0,0,0	1	215	0	1	circRNA	SRSF4	NM_005626	4	chr1:29150192-29154695|chr1:29154910-29159373
chr1	145294020	145371112	circular_RNA/1	1	-	145294020	145294020	0,0,0	97	52,173,52,173,109,173,52,173,52,93,80,52,173,109,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173	0,761,1546,2317,3118,3941,4766,5527,6308,7079,8796,9512,10273,11049,11872,12695,13456,14232,15055,15876,16637,17416,18187,18988,19811,20644,21405,22186,22957,23760,24583,25414,26175,26948,27719,28522,29345,30164,30925,31698,32469,33270,34093,34924,35685,36465,37236,38037,38860,39677,40438,41221,41992,42793,43616,44433,45194,45975,46746,47543,48366,49187,49948,50729,51500,52301,53124,53957,54718,55499,56270,57073,57896,58721,59482,60263,61034,61835,62658,63469,64230,65010,65781,66582,67405,68222,68983,69764,70535,71336,72159,72982,73743,74524,75295,76096,76919	1	circRNA	NBPF20	NM_001278267	135,134,133,132,131,130,129,128,127,126,125,124,123,122,121,120,119,118,117,116,115,114,113,112,111,110,109,108,107,106,105,104,103,102,101,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39	chr1:145293376-145294020|chr1:145371112-145371750
chr1	145320195	145338505	circular_RNA/1	1	-	145320195	145320195	0,0,0	24	173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52	0,773,1544,2347,3170,3989,4750,5523,6294,7095,7918,8749,9510,10290,11061,11862,12685,13502,14263,15046,15817,16618,17441,18258	1	circRNA	NBPF20	NM_001278267	103,102,101,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,80	chr1:145319486-145320195|chr1:145338505-145339214
chr1	145344749	145367936	circular_RNA/1	1	-	145344749	145344749	0,0,0	30	52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173	0,771,1572,2395,3228,3989,4770,5541,6344,7167,7992,8753,9534,10305,11106,11929,12740,13501,14281,15052,15853,16676,17493,18254,19035,19806,20607,21430,22253,23014	1	circRNA	NBPF20	NM_001278267	72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43	chr1:145344141-145344749|chr1:145367936-145368544
chr1	145379616	145393246	circular_RNA/1	1	-	145379616	145379616	0,0,0	18	109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173	0,823,1640,2401,3182,3953,4754,5577,6396,7157,7930,8701,9504,10327,11152,11913,12686,13457	1	circRNA	NBPF20	NM_001278267	28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11	chr1:145378986-145379616|chr1:145393246-145393721
chr1	146067179	146115402	circular_RNA/1	1	-	146067179	146067179	0,0,0	58	109,173,52,173,109,173,52,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173	0,823,1592,2363,3144,3967,4788,5549,6320,7091,11056,11827,12602,13425,14256,15017,15786,16557,17338,18161,18984,19744,20513,21284,22059,22882,23701,24462,25231,26002,26777,27600,28423,29184,29953,30724,31499,32322,33145,33906,34675,35446,36221,37044,37863,38624,39393,40164,40939,41762,42571,43332,44101,44874,45649,46472,47289,48050	1	circRNA	NBPF10	NM_001039703	85,84,83,82,81,80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28	chr1:146066561-146067179|chr1:146115402-146115998
chr1	146071146	146103509	circular_RNA/1	0	-	146071146	146071146	0,0,0	38	173,52,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109	0,821,1582,2353,3124,7089,7860,8635,9458,10289,11050,11819,12590,13371,14194,15017,15777,16546,17317,18092,18915,19734,20495,21264,22035,22810,23633,24456,25217,25986,26757,27532,28355,29178,29939,30708,31479,32254	1	circRNA	NBPF10	NM_001039703	80,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43	chr1:146070432-146071146|chr1:146103509-146104223
chr1	146078235	146088636	circular_RNA/1	1	-	146078235	146078235	0,0,0	14	52,173,109,173,52,173,52,173,109,173,52,173,52,173	0,771,1546,2369,3200,3961,4730,5501,6282,7105,7928,8688,9457,10228	1	circRNA	NBPF10	NM_001039703	75,74,73,72,71,70,69,68,67,66,65,64,63,62	chr1:146074443-146078235|chr1:146088636-146089238
chr1	146082965	146112226	circular_RNA/1	1	-	146082965	146082965	0,0,0	38	52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173	0,771,1552,2375,3198,3958,4727,5498,6273,7096,7915,8676,9445,10216,10991,11814,12637,13398,14167,14938,15713,16536,17359,18120,18889,19660,20435,21258,22077,22838,23607,24378,25153,25976,26785,27546,28315,29088	1	circRNA	NBPF10	NM_001039703	69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32	chr1:146082369-146082965|chr1:146112226-146112828
chr1	149511807	149525440	circular_RNA/1	1	+	149511807	149511807	0,0,0	18	173,52,173,52,173,109,173,52,173,52,173,109,173,52,173,52,173,109	0,892,1548,2430,3128,4014,4756,5648,6302,7184,7880,8767,9511,10403,11057,11939,12637,13524	1	circRNA	NBPF19	NM_001351365	39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56	chr1:149511174-149511807|chr1:149525440-149526069
